Game_Id,Abbreviation,Name,Genres,Platforms,Total_Runs,Release_Date
653,demons_crest,Demon's Crest,2D Platformer,"Super Nintendo, Wii U Virtual Console, Switch",114.0,2008-04-16
654,kung_fu,Kung Fu,Brawler,Nintendo Entertainment System,155.0,1994-10-21
655,kobolds_catacombs,Kobolds & Catacombs,Strategy,"PC, Android, iOS, Macintosh",251.0,1985-10-18
656,pvz_bfn,Plants vs. Zombies: Battle for Neighborville,Action,"PlayStation 4, Xbox One, PC, Switch, PlayStation 5, Xbox Series X",251.0,2017-12-07
657,cars,Cars,Racing,"GameCube, PlayStation 2, Xbox 360, Xbox, PC, Wii, Macintosh, backwards-compatible PlayStation 3, WiiU Backwards Compatibility",114.0,2019-10-18
658,ff12,Final Fantasy XII,RPG,"PlayStation 2, PlayStation 3, PlayStation 4, Xbox One, PC, Switch, PlayStation 4 Pro, PlayStation 5",113.0,2006-06-06
659,gow2018,God of War (2018),Action,"PlayStation 4, PC, PlayStation 4 Pro, PlayStation 5",142.0,2006-03-16
660,rdr2,Red Dead Redemption 2,Action-Adventure,"PlayStation 4, Xbox One, PC, Google Stadia, PlayStation 5, Xbox Series X, Xbox Series S",130.0,2018-04-20
661,mgrr,Metal Gear Rising: Revengeance,Action,"PlayStation 3, Xbox 360, Xbox One, PC, Xbox One X, Nvidia Shield, Xbox One S, Xbox Series X, Xbox Series S",165.0,2018-10-26
662,dt2,DuckTales 2 (NES),2D Platformer,"Nintendo Entertainment System, NES Classic Mini",131.0,2013-02-13
663,bookworm_adventures,Bookworm Adventures,Puzzle,PC,48.0,1993-01-01
664,bsi,BioShock Infinite,First-person shooter,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC, Macintosh, Linux, Switch, PlayStation 5, Xbox Series X, Xbox Series S",165.0,2006-11-26
665,pop1,Prince of Persia,Action-Adventure,"Nintendo Entertainment System, Sega Genesis, Game Boy Color, Sega Master System, MS-DOS, TurboGrafx-16/PC Engine, Amiga, Game Boy Player, Game Boy, Apple II",93.0,2013-03-26
666,poe,Path of Exile,Action,PC,179.0,1989-10-03
667,jfo,Star Wars Jedi: Fallen Order,Action-Adventure,"PlayStation 4, Xbox One, PC, Xbox One X, PlayStation 4 Pro, Xbox One S, Google Stadia, PlayStation 5, Xbox Series X, Xbox Series S",98.0,2013-10-23
668,mk11,Mortal Kombat 11,Brawler,"PlayStation 4, Xbox One, PC, Switch, Xbox One X, PlayStation 4 Pro, Xbox One S, Google Stadia, PlayStation 5, Xbox Series X, Xbox Series S",191.0,2019-11-14
669,rbxose,ROBLOX: Old Styled Escape,Puzzle,"PC, Android, iOS, Macintosh",154.0,2019-04-23
670,barneys_hide_and_seek_game,Barney's Hide & Seek Game,Misc,Sega Genesis,287.0,2017-09-26
671,astros_playroom,Astro's Playroom,Action-Adventure,PlayStation 5,140.0,1993-06-01
672,salt_and_sanctuary,Salt and Sanctuary,Action,"PlayStation Vita, PlayStation 4, Xbox One, PC, Switch",134.0,2020-11-12
673,owlboy,Owlboy,2D Platformer,"PC, Macintosh, Linux, Switch",78.0,2016-03-15
674,slendrinashool,Slendrina: The school,Horror,"Android, iOS",316.0,2016-11-01
675,rblx_mc,ROBLOX: Mad City,Action,"Xbox One, PC, Android, iOS, Macintosh, Linux",165.0,2016-08-20
676,tlk_md_sg,The Lion King (Genesis/MegaDrive),2D Platformer,"Sega Genesis, PlayStation 4, Xbox One, PC, Switch",73.0,2017-12-03
677,xc2,Xenoblade Chronicles 2,RPG,Switch,98.0,1994-12-08
678,rain_world,Rain World,Action-Adventure,"PlayStation 4, PC, Switch",144.0,2017-12-01
